,Baclaran,EDSA,Libertad,Gil Puyat,Vito Cruz,Quirino,Pedro Gil,UN Ave.,Central,Carriedo,Doroteo Jose,Bambang,Tayuman,Blumentritt,Abad Santos,R. Papa,5th Avenue,Monumento,Balintawak,Roosevelt
Baclaran,0,15,15,15,15,15,20,20,20,20,20,20,30,30,30,30,30,30,30,30
EDSA,15,0,15,15,15,15,15,20,20,20,20,20,20,30,30,30,30,30,30,30
Libertad,15,15,0,15,15,15,15,15,20,20,20,20,20,20,30,30,30,30,30,30
Gil Puyat,15,15,15,0,15,15,15,15,20,20,20,20,20,20,20,30,30,30,30,30
Vito Cruz,15,15,15,15,0,15,15,15,15,15,20,20,20,20,20,20,30,30,30,30
Quirino,15,15,15,15,15,0,15,15,15,15,15,20,20,20,20,20,20,30,30,30
Pedro Gil,20,15,15,15,15,15,0,15,15,15,15,15,20,20,20,20,20,20,30,30
UN Ave.,20,20,15,15,15,15,15,0,15,15,15,15,15,20,20,20,20,20,30,30
Central,20,20,20,20,15,15,15,15,0,15,15,15,15,15,15,20,20,20,20,30
Carriedo,20,20,20,20,15,15,15,15,15,0,15,15,15,15,15,15,20,20,20,30
Doroteo Jose,20,20,20,20,20,15,15,15,15,15,0,15,15,15,15,15,15,20,20,30
Bambang,20,20,20,20,20,20,15,15,15,15,15,0,15,15,15,15,15,20,20,20
Tayuman,30,20,20,20,20,20,20,15,15,15,15,15,0,15,15,15,15,15,20,20
Blumentritt,30,30,20,20,20,20,20,20,15,15,15,15,15,0,15,15,15,15,20,20
Abad Santos,30,30,30,20,20,20,20,20,15,15,15,15,15,15,0,15,15,15,20,20
R. Papa,30,30,30,30,20,20,20,20,20,15,15,15,15,15,15,0,15,15,15,20
5th Avenue,30,30,30,30,30,20,20,20,20,20,15,15,15,15,15,15,0,15,15,20
Monumento,30,30,30,30,30,30,20,20,20,20,20,20,15,15,15,15,15,0,15,15
Balintawak,30,30,30,30,30,30,30,30,20,20,20,20,20,20,15,15,15,15,0,15
Roosevelt,30,30,30,30,30,30,30,30,30,30,30,20,20,20,20,20,20,15,15,0
