,Recto,Legarda,Pureza,V. Mapa,J. Ruiz,Gilmore,Betty Go-Belmonte,Araneta - Cubao,Anonas,Katipunan,Santolan
Recto,0,15,15,15,20,20,20,20,25,25,25
Legarda,15,0,15,15,15,20,20,20,20,25,25
Pureza,15,15,0,15,15,15,20,20,20,20,25
V. Mapa,15,15,15,0,15,15,15,20,20,20,25
J. Ruiz,20,15,15,15,0,15,15,15,20,20,20
Gilmore,20,20,15,15,15,0,15,15,15,20,20
Betty Go-Belmonte,20,20,20,15,15,15,0,15,15,15,20
Araneta - Cubao,20,20,20,20,15,15,15,0,15,15,15
Anonas,25,20,20,20,20,15,15,15,0,15,15
Katipunan,25,25,20,20,20,20,15,15,15,0,15
Santolan,25,25,25,25,20,20,20,15,15,15,0
