,Recto,Legarda,Pureza,V. Mapa,J. Ruiz,Gilmore,Betty Go-Belmonte,Araneta - Cubao,Anonas,Katipunan,Santolan
Recto,0,12,14,15,16,17,18,19,21,22,24
Legarda,12,0,13,14,15,16,17,18,20,21,23
Pureza,14,13,0,13,14,15,16,17,19,20,22
V. Mapa,15,14,13,0,13,14,15,16,18,19,21
J. Ruiz,16,15,14,13,0,12,13,14,16,17,19
Gilmore,17,16,15,14,12,0,12,13,15,16,18
Betty Go-Belmonte,18,17,16,15,13,12,0,12,14,15,17
Araneta - Cubao,19,18,17,16,14,13,12,0,12,13,15
Anonas,21,20,19,18,16,15,14,12,0,12,14
Katipunan,22,21,20,19,17,16,15,13,12,0,13
Santolan,24,23,22,21,19,18,17,15,14,13,0
