,North Ave,Quezon Ave,Kamuning,Cubao,Santolan,Ortigas,Shaw,Boni,Guadalupe,Buendia,Ayala,Magallanes,Taft
North Ave,0,13,13,16,16,20,20,20,24,24,24,28,28
Quezon Ave,13,0,13,13,16,16,20,20,20,24,24,24,28
Kamuning,13,13,0,13,13,16,16,20,20,20,24,24,24
Cubao,16,13,13,0,13,13,16,16,20,20,20,24,24
Santolan,16,16,13,13,0,13,13,16,16,20,20,20,24
Ortigas,20,16,16,13,13,0,13,13,16,16,20,20,20
Shaw,20,20,16,16,13,13,0,13,13,16,16,20,20
Boni,20,20,20,16,16,13,13,0,13,13,16,16,20
Guadalupe,24,20,20,20,16,16,13,13,0,13,13,16,16
Buendia,24,24,20,20,20,16,16,13,13,0,13,13,16
Ayala,24,24,24,20,20,20,16,16,13,13,0,13,13
Magallanes,28,24,24,24,20,20,20,16,16,13,13,0,13
Taft,28,28,24,24,24,20,20,20,16,16,13,13,0
