,Tutuban,Blumentritt,Laon Laan,España,Sta. Mesa,Pandacan,Paco,San Andres,Vito Cruz,Buendia,Pasay Road,EDSA,Nichols,FTI,Bicutan,Sucat,Alabang,Muntinlupa,San Pedro,Pacita Main Gate,Golden City 1,Biñan,Sta. Rosa,Cabuyao,Mamatid,Calamba
Tutuban,0,15,15,15,15,15,15,15,15,15,15,15,20,20,20,25,30,35,40,40,40,45,45,50,55,60
Blumentritt,15,0,15,15,15,15,15,15,15,15,15,15,15,15,20,25,30,30,35,35,40,40,45,50,55,55
Laon Laan,15,15,0,15,15,15,15,15,15,15,15,15,15,15,20,25,25,30,35,35,35,40,45,45,55,55
España,15,15,15,0,15,15,15,15,15,15,15,15,15,15,20,20,25,30,35,35,35,40,40,45,50,55
Sta. Mesa,15,15,15,15,0,15,15,15,15,15,15,15,15,15,15,20,25,25,30,35,35,35,40,45,50,55
Pandacan,15,15,15,15,15,0,15,15,15,15,15,15,15,15,15,20,20,25,30,30,35,35,40,40,50,50
Paco,15,15,15,15,15,15,0,15,15,15,15,15,15,15,15,15,20,25,30,30,30,30,35,40,45,50
San Andres,15,15,15,15,15,15,15,0,15,15,15,15,15,15,15,15,20,25,25,30,30,30,35,40,45,50
Vito Cruz,15,15,15,15,15,15,15,15,0,15,15,15,15,15,15,15,20,20,25,30,30,30,35,40,45,50
Buendia,15,15,15,15,15,15,15,15,15,0,15,15,15,15,15,15,20,20,25,25,30,30,35,40,45,45
Pasay Road,15,15,15,15,15,15,15,15,15,15,0,15,15,15,15,15,15,20,25,25,25,30,35,35,45,45
EDSA,15,15,15,15,15,15,15,15,15,15,15,0,15,15,15,15,15,20,25,25,25,25,30,35,40,45
Nichols,20,15,15,15,15,15,15,15,15,15,15,15,0,15,15,15,15,15,20,20,20,25,30,30,40,40
FTI,20,15,15,15,15,15,15,15,15,15,15,15,15,0,15,15,15,15,20,20,20,25,25,30,35,40
Bicutan,20,20,20,20,15,15,15,15,15,15,15,15,15,15,0,15,15,15,15,20,20,20,25,30,35,40
Sucat,25,25,25,20,20,20,15,15,15,15,15,15,15,15,15,0,15,15,15,15,15,15,20,25,30,35
Alabang,30,30,25,25,25,20,20,20,20,20,15,15,15,15,15,15,0,15,15,15,15,15,15,20,25,30
Muntinlupa,35,30,30,30,25,25,25,25,20,20,20,20,15,15,15,15,15,0,15,15,15,15,15,15,20,25
San Pedro,40,35,35,35,30,30,30,25,25,25,25,25,20,20,15,15,15,15,0,15,15,15,15,15,20,20
Pacita Main Gate,40,35,35,35,35,30,30,30,30,25,25,25,20,20,20,15,15,15,15,0,15,15,15,15,15,20
Golden City 1,40,40,35,35,35,35,30,30,30,30,25,25,20,20,20,15,15,15,15,15,0,15,15,15,15,20
Biñan,45,40,40,40,35,35,30,30,30,30,30,25,25,25,20,15,15,15,15,15,15,0,15,15,15,20
Sta. Rosa,45,45,45,40,40,40,35,35,35,35,35,30,30,25,25,20,15,15,15,15,15,15,0,15,15,15
Cabuyao,50,50,45,45,45,40,40,40,40,40,35,35,30,30,30,25,20,15,15,15,15,15,15,0,15,15
Mamatid,55,55,55,50,50,50,45,45,45,45,45,40,40,35,35,30,25,20,20,15,15,15,15,15,0,15
Calamba,60,55,55,55,55,50,50,50,50,45,45,45,40,40,40,35,30,25,20,20,20,20,15,15,15,0
