distance,regular,discounted
1,10.00,8.00
2,10.00,8.00
3,10.00,8.00
4,10.00,8.00
5,10.00,8.00
6,11.75,9.50
7,13.75,11.00
8,15.50,12.50
9,17.50,14.00
10,19.25,15.50
11,21.00,17.00
12,23.00,18.25
13,24.75,19.75
14,26.75,21.25
15,28.50,22.75
16,30.25,24.25
17,32.25,25.75
18,34.00,27.25
19,36.00,28.75
20,37.75,30.25
21,39.50,31.75
22,41.50,33.25
23,43.25,34.75
24,45.25,36.00
25,47.00,37.50
26,48.75,39.00
27,50.75,40.50
28,52.50,42.00
29,54.50,43.50
30,56.25,45.00
31,58.00,46.50
32,60.00,48.00
33,61.75,49.50
34,63.75,51.00
35,65.50,52.50
36,67.25,54.00
37,69.25,55.25
38,71.00,56.75
39,73.00,58.25
40,74.75,59.75
41,76.50,61.25
42,78.50,62.75
43,80.25,64.25
44,82.25,65.75
45,84.00,67.25
46,85.75,68.75
47,87.75,70.25
48,89.50,71.75
49,91.50,73.00
50,93.25,74.50
51,95.00,76.00
52,97.00,77.50
53,98.75,79.00
54,100.75,80.50
55,102.50,82.00
56,104.25,83.50
57,106.25,85.00
58,108.00,86.50
59,110.00,88.00
60,111.75,89.50
