distance,regular,discounted
1,8.00,6.50
2,8.00,6.50
3,8.00,6.50
4,8.00,6.50
5,9.50,7.50
6,11.00,8.75
7,12.50,10.00
8,14.00,11.25
9,15.50,12.50
10,17.00,13.50
11,18.50,14.75
12,20.00,16.00
13,21.50,17.25
14,23.00,18.50
15,24.50,19.50
16,26.00,20.75
17,27.50,22.00
18,29.00,23.25
19,30.50,24.50
20,32.00,25.50
21,33.50,26.75
22,35.00,28.00
23,36.50,29.25
24,38.00,30.50
25,39.50,31.50
26,41.00,32.75
27,42.50,34.00
28,44.00,35.25
29,45.50,36.50
30,47.00,37.50
31,48.50,38.75
32,50.00,40.00
33,51.50,41.25
34,53.00,42.50
35,54.50,43.50
36,56.00,44.75
37,57.50,46.00
38,59.00,47.25
39,60.50,48.50
40,62.00,49.50
41,63.50,50.75
42,65.00,52.00
43,66.50,53.25
44,68.00,54.50
45,69.50,55.50
46,71.00,56.75
47,72.50,58.00
48,74.00,59.25
49,75.50,60.50
50,77.00,61.50
